setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
dimy8,early,kcenter_mean2,8,7.709999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
dimy8,early,kcenter_mean2,16,15.54375,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
dimy8,early,kcenter_mean2,32,30.48875,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
dimy8,early,kcenter_mean2,64,57.760000000000005,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
dimy8,mid,uniform,8,8.0,1.0,-1.0,0.8699999999999999,0.9716871386090548,0.8592628790674521,0.046851989018614405,0.346648183465004,0.42705050110816956,1.431266866857186,True
dimy8,mid,uniform,16,16.0,1.0,1.0,0.9,0.9870250292274795,0.9195590904315741,0.030024712951853872,0.2741230070590973,0.28360050916671753,1.0781356192193925,True
dimy8,mid,uniform,32,32.0,1.0,1.0,0.9125,0.9943224412515024,0.9689673806504883,0.012988705640236731,0.2461788073182106,0.19323037564754486,0.6813622364541516,True
dimy8,mid,uniform,64,64.0,1.0,1.0,0.92875,0.9980289497423039,0.9893425864251759,0.004753065890872677,0.21324732452630996,0.1100398525595665,0.3814371951972134,True
dimy8,mid,importance,8,7.77625,1.0,-1.0,0.8625,0.9699252390054139,0.8565183066502787,0.0459207307867473,0.3784561291337013,0.43233054876327515,1.462182824453339,True
dimy8,mid,importance,16,15.05875,1.0,-1.0,0.8925000000000001,0.9844470115877033,0.9103139030641346,0.028250702485092916,0.3302290290594101,0.2935895621776581,1.0362644105101935,True
dimy8,mid,importance,32,28.276249999999997,1.0,1.0,0.9075,0.9925435517030393,0.9571849318150725,0.017641797868418508,0.24961785823106766,0.2086237221956253,0.8112391934380867,True
dimy8,mid,importance,64,50.41875,1.0,1.0,0.9324999999999999,0.9963893100326742,0.9798598195986991,0.008615334737987724,0.21574413478374482,0.14772872626781464,0.5531860944349318,True
dimy8,mid,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,2.44612294864055e-08,True
dimy8,mid,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,2.44612294864055e-08,True
dimy8,mid,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,2.44612294864055e-08,True
dimy8,mid,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,2.44612294864055e-08,True
dimy8,mid,kcenter_mean2,8,7.859999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,2.44612294864055e-08,True
dimy8,mid,kcenter_mean2,16,15.71875,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,2.44612294864055e-08,True
