setting,n,candidate,score,success,diverged,cm_samples,diff_samples,seconds_per_run,peak_mem_mb,comparator,diff_vs_comparator,diff_vs_comparator_p,diff_vs_baseline,diff_vs_baseline_p
10D,8,backsel_is_k4_trust,0.5863452201365339,0.0,0,1108.325,316.325,0.715390516599291,787.8359375,trust_noise1,-0.056756020168167984,0.1208439578021099,0.044590636334246314,0.2743362831858407
10D,8,backsel_clust_k2_trust,0.5331334506081022,0.0,0,990,198,0.6790838470507878,785.32421875,trust_noise1,-0.0035442506397363434,0.9142542872856357,0.09780240586267795,0.0111994400279986
10D,8,backsel_clust_k4_trust,0.5244797943932415,0.0,0,1188,396,0.6704505055251502,799.87890625,trust_noise1,0.005109405575124444,0.8543072846357682,0.10645606207753874,0.009349532523373831
10D,8,replay_cohort16_trust,0.5440493780973102,0.0,0,792,792,0.4861981413749163,783.875,trust_noise1,-0.01446017812894426,0.67941602919854,0.08688647837347004,0.05894705264736763
10D,8,backsel_is_k4_cohort16_trust,0.567425050073336,0.0,0,1107.175,315.175,0.6834964243247669,799.45703125,replay_cohort16_trust,-0.023375671976025792,0.4590770461476926,0.06351080639744425,0.16264186790660468
10D,8,backsel_clust_k4_cohort16_trust,0.5147387407560668,0.0,0,1188,396,0.6847112372499395,792.6796875,replay_cohort16_trust,0.029310637341243388,0.2868356582170891,0.11619711571471342,0.0039998000099995
10D,32,baseline,0.48810208749514106,0.0,0,3168,3168,0.5733666058000381,781.63671875,,,,,
10D,32,trust_noise1,0.46374551357916605,0.0,0,3168,3168,0.5818764727751841,778.46484375,baseline,0.024356573915974913,0.3656317184140793,0.024356573915974913,0.3656317184140793
10D,32,backsel_uni_k2,0.6939024033456755,0.0,0,3366,198,0.7366990485752467,825.85546875,baseline,-0.2058003158505345,4.999750012499375e-05,-0.2058003158505345,4.999750012499375e-05
10D,32,backsel_uni_k4,0.6522127426273558,0.0,0,3564,396,0.7302889466500346,829.69921875,baseline,-0.16411065513221476,0.000199990000499975,-0.16411065513221476,0.000199990000499975
10D,32,backsel_is_k2,0.6239746195589142,0.0,0,3362.75,194.75,0.7358495657499589,828.62109375,baseline,-0.13587253206377323,0.0002999850007499625,-0.13587253206377323,0.0002999850007499625
10D,32,backsel_is_k4,0.6515870692793534,0.0,0,3542.825,374.825,0.7401412997998704,838.25,baseline,-0.16348498178421236,0.00034998250087495624,-0.16348498178421236,0.00034998250087495624
10D,32,backsel_clust_k2,0.608487606251114,0.0,0,3366,198,0.7386510464250022,833.42578125,baseline,-0.120385518755973,0.0010499475026248687,-0.120385518755973,0.0010499475026248687
10D,32,backsel_clust_k4,0.544213388584234,0.0,0,3564,396,0.7594254528998136,831.80078125,baseline,-0.05611130108909296,0.11539423028848557,-0.05611130108909296,0.11539423028848557
10D,32,backsel_uni_k2_trust,0.5374633849573248,0.0,0,3366,198,0.7265431127001648,837.1328125,trust_noise1,-0.07371787137815876,0.015399230038498074,-0.049361297462183845,0.13674316284185792
10D,32,backsel_uni_k4_trust,0.49436636813967627,0.0,0,3564,396,0.7122869910999725,840.30078125,trust_noise1,-0.03062085456051021,0.2488375581220939,-0.006264280644535299,0.8752062396880156
10D,32,backsel_is_k2_trust,0.53567172706149,0.0,0,3362.6,194.6,0.7973312550995615,750.03515625,trust_noise1,-0.0719262134823239,0.02654867256637168,-0.047569639566349,0.21513924303784812
10D,32,backsel_is_k4_trust,0.5315650775639236,0.0,0,3542.7,374.7,0.8663755960005801,830.953125,trust_noise1,-0.0678195639847575,0.028198590070496476,-0.043462990068782584,0.18279086045697715
10D,32,backsel_clust_k2_trust,0.47798612342517155,0.0,0,3366,198,0.7721756561251822,833.41015625,trust_noise1,-0.014240609846005434,0.4833258337083146,0.010115964069969478,0.6832658367081645
10D,32,backsel_clust_k4_trust,0.45279101335181293,0.0,0,3564,396,0.8025035705242771,811.95703125,trust_noise1,0.010954500227353137,0.6489175541222939,0.03531107414332805,0.1159942002899855
10D,32,replay_cohort64_trust,0.5566650884325348,0.0,0,3168,3168,0.6246498048480135,773.8828125,trust_noise1,-0.09291957485336871,0.000199990000499975,-0.0685630009373938,0.018499075046247686
10D,32,backsel_is_k4_cohort64_trust,0.5159516157957786,0.0,0,3542.35,374.35,0.7986695253232028,811.78125,replay_cohort64_trust,0.04071347263675619,0.11074446277686116,-0.027849528300637607,0.33503324833758313
10D,32,backsel_clust_k4_cohort64_trust,0.4901887697526357,0.0,0,3564,396,0.8574621586507419,815.8203125,replay_cohort64_trust,0.06647631867989913,0.0004999750012499375,-0.002086682257494672,0.9381030948452578
