setting,n,spatial,temporal,candidate,restarts,offset,base_score,cand_score,diff,ci_lo,ci_hi,wins,perm_p,base_success,cand_success,base_div,cand_div,calls,calls_match,mmd_diff,mmd_ci_lo,mmd_ci_hi,mmd_p,screening_diff,s_per_run
5D,8,no_lgd,none,relclip2,100,1000,0.5083370457599187,0.4985597464514413,0.009777299308477403,-0.02930166233910469,0.04822775352599194,54,0.6198690065496725,0.0,0.0,0,0,792,True,0.014261925220489502,0.0003262639045715332,0.029157381057739257,0.04224788760561972,-0.03740524308944859,0.6982173961296212
5D,8,no_lgd,none,relclip_ema2,100,1000,0.5083370457599187,0.523244049235129,-0.014907003475210259,-0.05538791474885575,0.02523722802755077,48,0.4807259637018149,0.0,0.0,0,0,792,True,0.0032971549034118653,-0.01731486797332764,0.02167738914489746,0.7566621668916554,-0.008141027157864467,0.6974156961799599
5D,8,no_lgd,none,sqrt_floor,100,1000,0.5083370457599187,0.4594145260455567,0.048922519714362005,0.005797683144412644,0.09427132909768282,60,0.034148292585370735,0.0,0.0,0,0,792,True,0.023918371200561523,0.0019298720359802247,0.04474274635314941,0.020498975051247436,0.009113649943132018,0.6975323599699186
5D,8,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.5083370457599187,0.4498320082459703,0.05850503751394839,0.014184250651078804,0.10420481529488901,78,0.011299435028248588,0.0,0.0,0,0,792,True,0.03005246877670288,-0.001441037654876709,0.0575352144241333,0.04544772761361932,-0.0005686408954430067,0.6866843404900282
5D,8,no_lgd,none,trust_noise1,100,1000,0.5083370457599187,0.4725687056465273,0.03576834011339139,0.00589906311029476,0.06927138850440936,56,0.03009849507524624,0.0,0.0,0,0,792,True,0.027284221649169924,0.014853887557983399,0.0437531852722168,4.999750012499375e-05,0.03368817064382579,0.7010822682001162
5D,16,no_lgd,none,clip0.5,100,1000,0.44878998452360014,0.4448169673317505,0.0039730171918496,-0.023584332531695153,0.029103526119436975,82,0.7881105944702765,0.0,0.0,0,0,1584,True,0.026562795639038086,0.0023609900474548338,0.046511569023132325,0.016999150042497874,0.0016331983021778407,0.7297804876702139
5D,16,no_lgd,none,relclip1,100,1000,0.44878998452360014,0.45354633984168086,-0.004756355318080719,-0.03183525520876664,0.020649052072272148,64,0.7290135493225339,0.0,0.0,0,0,1584,True,0.035669219493865964,0.024357926845550538,0.04628045558929443,4.999750012499375e-05,0.02054050244077371,0.729356840159744
5D,16,no_lgd,none,relclip2,100,1000,0.44878998452360014,0.441372938477336,0.007417046046264167,-0.007974961976713003,0.025383288239712483,58,0.4896755162241888,0.0,0.0,0,0,1584,True,0.01795067548751831,0.011454880237579346,0.024693663120269774,4.999750012499375e-05,0.009518924520183769,0.7539431376598077
5D,16,no_lgd,none,relclip_ema2,100,1000,0.44878998452360014,0.44338661669350177,0.005403367830098363,-0.014399484729291525,0.02537447916030069,62,0.6490175491225438,0.0,0.0,0,0,1584,True,0.026280889511108397,0.018999061584472655,0.03372648000717163,4.999750012499375e-05,-0.014420230458941585,0.7499446467502275
5D,16,no_lgd,none,sqrt_floor,100,1000,0.44878998452360014,0.452981455426196,-0.00419147090259587,-0.034314723682732154,0.024859660224677355,65,0.8097595120243988,0.0,0.0,0,0,1584,True,0.0059375309944152835,-0.02441431999206543,0.029888367652893065,0.7019649017549122,0.042570647347638824,0.7406891940895002
5D,16,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.44878998452360014,0.4575199859680024,-0.008730001444402299,-0.04172564606623139,0.022010195200044633,77,0.6054197290135493,0.0,0.0,0,0,1584,True,0.020992331504821778,-0.01010591745376587,0.04774861812591553,0.1688915554222289,0.06375470742616474,0.6941628445300739
5D,16,no_lgd,none,trust_noise1,100,1000,0.44878998452360014,0.44127917242332076,0.007510812100279385,-0.002819287316713945,0.016554715126955537,58,0.13539323033848308,0.0,0.0,0,0,1584,True,0.018403606414794924,0.01239168643951416,0.024618289470672607,4.999750012499375e-05,0.04008422279522539,0.7453106661402853
5D,32,no_lgd,none,clip0.5,100,1000,0.44392048733216494,0.4110190491785452,0.03290143815361976,0.02029657546054921,0.05112932000483321,90,4.999750012499375e-05,0.0,0.0,0,0,3168,True,0.05983747005462647,0.05145431518554688,0.06814340353012086,4.999750012499375e-05,-0.0007669109336409519,0.7722960225801216
5D,32,no_lgd,none,relclip1,100,1000,0.44392048733216494,0.41479227802624613,0.029128209305918817,0.01920397154927366,0.04238341307598992,84,4.999750012499375e-05,0.0,0.0,0,0,3168,True,0.06454318761825562,0.05116583108901977,0.08092723369598388,4.999750012499375e-05,0.00995729511809279,0.7721827025397215
5D,32,no_lgd,none,relclip2,100,1000,0.44392048733216494,0.4287717405684077,0.015148746763757241,0.007151884718920233,0.02688930928667905,66,4.999750012499375e-05,0.0,0.0,0,0,3168,True,0.03639113664627075,0.02264305591583252,0.05382432699203491,4.999750012499375e-05,0.009386313897732368,0.7932911322097062
5D,32,no_lgd,none,relclip_ema2,100,1000,0.44392048733216494,0.42821811020645384,0.01570237712571111,-0.001229193272972265,0.03123751222597372,82,0.023398830058497074,0.0,0.0,0,0,3168,True,0.04973271608352661,0.036513674259185794,0.06669165134429932,4.999750012499375e-05,0.018175476407833124,0.7930695945199113
5D,32,no_lgd,none,sqrt_floor,100,1000,0.44392048733216494,0.421369926517553,0.02255056081461192,0.007540528020398946,0.039997557173956935,80,4.999750012499375e-05,0.0,0.0,0,0,3168,True,0.05251846790313721,0.038280997276306156,0.0723914361000061,4.999750012499375e-05,0.01901367647963037,0.7739145472802921
5D,32,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.44392048733216494,0.40876035614757067,0.035160131184594275,0.023186370213841973,0.05135912756525911,92,4.999750012499375e-05,0.0,0.0,0,0,3168,True,0.07886015653610229,0.06528404951095582,0.09777996778488159,4.999750012499375e-05,0.029622005859484546,0.7298998521297472
5D,32,no_lgd,none,trust_noise1,100,1000,0.44392048733216494,0.4339543134091733,0.00996617392299166,0.00010403861565996708,0.022780382503488888,60,0.061946902654867256,0.0,0.0,0,0,3168,True,0.028355538845062256,0.016563796997070314,0.045241668224334716,4.999750012499375e-05,0.0057408065324559,0.7902296412200667
10D,4,no_lgd,none,clip0.5,100,1000,0.6673023883042236,0.6495911822901816,0.017711206014041973,-0.03303785581411823,0.06718185026121323,47,0.4870256487175641,0.0,0.0,0,0,396,True,0.36796839714050295,0.3134934496879578,0.4223111939430237,4.999750012499375e-05,-0.04810107667789443,0.6043395997199695
10D,4,no_lgd,none,relclip1,100,1000,0.6673023883042236,0.6769588073213132,-0.009656419017089628,-0.057663261600390106,0.03790396682513284,49,0.6950152492375381,0.0,0.0,0,0,396,True,0.30201732635498046,0.2505771589279175,0.35464002132415773,4.999750012499375e-05,-0.031958636102581095,0.5793427486502333
10D,4,no_lgd,none,relclip2,100,1000,0.6673023883042236,0.7141081794574025,-0.04680579115317882,-0.09191362472013075,-0.0018133613632047257,46,0.047897605119744016,0.0,0.0,0,0,396,True,0.07403208494186402,0.019661009311676025,0.12743234872817993,0.009799510024498775,-0.04944743854038747,0.7166489376302343
10D,4,no_lgd,none,relclip_ema2,100,1000,0.6673023883042236,0.6630964356396276,0.004205952664596029,-0.03609386958195279,0.044445676434793795,49,0.839958002099895,0.0,0.0,0,0,396,True,0.06580510139465331,0.010916047096252442,0.12054795503616333,0.020448977551122443,-0.007096741424166497,0.7183766490605195
