setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
nuis8,early,kcenter_mean2,64,56.84375,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,mid,uniform,8,8.0,1.0,-1.0,0.5625,0.2269868703457669,-0.12002640040563987,0.24794532358646393,0.9870507568120956,37.54433822631836,29.9583740234375,False
nuis8,mid,uniform,16,16.0,1.0,-1.0,0.50625,0.3457000498380768,-0.027487450399343014,0.24845610558986664,1.0110120996832848,20.921165466308594,17.94360703229904,False
nuis8,mid,uniform,32,32.0,1.0,-1.0,0.51875,0.42434590323141275,0.12631138427381494,0.23010225966572762,0.9931873753666878,17.93544578552246,11.7469602227211,False
nuis8,mid,uniform,64,64.0,1.0,-1.0,0.50625,0.6351813278932796,0.25455773379948715,0.22725825011730194,1.0136032178997993,11.811147689819336,7.814876556396484,False
nuis8,mid,importance,8,7.75,1.0,-1.0,0.59375,0.21695677703100258,-0.07083756148639933,0.25361003167927265,0.9551835581660271,43.72888946533203,33.179462909698486,False
nuis8,mid,importance,16,15.15,1.0,-1.0,0.5375,0.295672990862042,-0.01848971711904946,0.26318161375820637,0.9983571246266365,25.690227508544922,23.78832185268402,False
nuis8,mid,importance,32,28.30625,-1.0,-1.0,0.44375,0.35593008235693896,-0.0035050517073715957,0.2560255751013756,0.9895166009664536,23.654064178466797,15.63526600599289,False
nuis8,mid,importance,64,50.29375,1.0,-1.0,0.5,0.505392708353499,0.09806669517278409,0.25684269703924656,1.0117370337247849,13.208114624023438,12.321338534355164,False
nuis8,mid,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter_mean2,8,7.99375,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter_mean2,16,15.8,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter_mean2,32,31.03125,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,mid,kcenter_mean2,64,57.18125,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.2932402643505156e-08,True
nuis8,late,uniform,8,8.0,1.0,-1.0,0.5166666666666667,0.23428301101478385,-0.3313638285260038,0.3437296226620674,0.9817840953667959,22.98357582092285,18.89704354604085,False
nuis8,late,uniform,16,16.0,1.0,-1.0,0.5916666666666667,0.4230278018400818,-0.12079207107437735,0.30895541111628216,0.9874261518319448,14.716288566589355,12.843821009000143,False
nuis8,late,uniform,32,32.0,1.0,-1.0,0.5416666666666666,0.4931514413616384,-0.13034973717920356,0.3245716989040375,0.9933788577715555,9.027993202209473,7.4490814208984375,False
